Name,YearPublished,GameWeight,AvgRating,MaxPlayers
Bargain Hunter,1998,1.875,6.72912,4
Quiddler,1998,1.4273,6.07907,8
Frank's Zoo,1999,1.5335,6.60839,7
Hong Kong,1999,2.1111,5.90256,2
Twins,1996,1.25,6.25343,6
Members Only,1996,2,6.61413,5
Prairie Railroads,1999,3,7.01111,5
Fishy,1991,1.25,5.60391,6
Merchants of the Middle Ages,1999,3.0132,6.7323,4
Halunken & Spelunken,1997,1.5238,5.61095,4
Hattrick,1995,1.5909,6.4942,6
Trumpet,1990,1.45,6.18171,6
Inkognito: The Card Game,1997,1.66,5.43012,5
Stick 'Em,1993,1.9237,7.04365,8
Das letzte Paradies,1993,1.8571,5.73892,5
Ab die Post!,1996,1.3333,5.27941,6
Excape,1998,1.141,6.34908,6
Bucket Brigade,1998,1.2759,6.06204,5
Quests of the Round Table,1995,1.8621,5.3813,4
Hare & Tortoise,1973,1.9358,6.63082,6
Elefantenparade,1988,1.2857,5.77801,4
Cat Blues,1998,1.4286,5.9293,6
Samarkand,1980,1.9494,6.43141,5
Tricks,1995,1.4286,5.57517,5
Viva Pamplona!,1992,1.38,6.36593,6
Overthrone,1999,2.1818,5.32714,6
Relationship Tightrope,1999,1.3407,6.16919,5
5ive Straight,1958,1.7,6.26404,9
Mystery Rummy: Murders in the Rue Morgue,1999,1.7067,6.73344,4
Schotten Totten,1999,1.7244,7.32098,2
Wrott & Swindlers,1995,1.8,6.5625,6
Colorado County,1998,2.4706,6.14746,4
6 Billion,1999,2.6875,5.34493,5
DruidenWalzer,1999,2.3875,5.88446,2
Lancashire Railways,1998,3.1429,6.94087,6
Express,1990,1.6757,6.19882,6
Polarity,1986,1.6786,6.36459,4
X Pasch,1996,2.5,6.25,6
Heimlich & Co.,1984,1.485,6.44352,7
Turf Horse Racing,1995,1.8,6.45224,6
TurfMaster,1998,1.9579,7.24498,8
Pirateer,1978,1.4783,5.53245,4
Corruption,2000,1.8276,5.81656,7
Finale,1998,1.8611,5.7502,2
Die Mauer,1997,1.2917,6.05232,6
Ocean,1999,1,4.77083,6
Brawl,1999,1.3694,6.36154,7
Dinosaurs of the Lost World,1987,1.8889,6.60971,4
Kahuna,1998,2.0541,6.6242,2
Der dreizehnte Holzwurm,1998,1.2308,6.00664,6
Diskwars,1999,2.3958,5.94082,8
Wildlife Safari,1994,1.2945,6.64268,5
Tom Clancy's Politika,1997,2.7368,4.24552,8
Shanghai,1997,1.7,5.33028,6
Gold Connection,1992,1.8182,6.44645,4
Elk Fest,1999,1.0497,6.15421,2
Worm Up!,1994,1.0976,5.86063,5
Meteo,1989,2.3,5.49653,4
Zoon,1999,1.5714,5.50249,2
Dschungel,1999,1.75,4.82031,4
D'raf,1997,1.75,5.97525,5
Yukon Company,1999,3,6.20909,6
Die Erben von Hoax,1999,2.1538,6.04029,8
Around the World in 80 Days,1986,1.64,5.9991,6
Espresso,1995,1,6.16667,6
A to Z,1992,1.5,6.09537,4
Edison & Co.,1998,2.0333,4.46997,4
Rail Baron,1977,2.2619,6.58867,6
1830: Railways & Robber Barons,1986,4.1642,7.86873,7
1835,1990,3.9896,7.05009,7
1856: Railroading in Upper Canada from 1856,1995,4.2485,7.51252,6
1870: Railroading across the Trans Mississippi from 1870,1992,4.1825,7.43449,6
Thunder's Edge,1999,3.125,6.16401,5
The Battle of the Bulge,1981,2.9149,6.56553,2
Grass,1980,1.5596,5.97078,6
Galopp Royal,1995,1.6471,5.89167,6
Magalon,1998,1.8947,5.87436,4
Asterix: Das Kartenspiel,1990,1.1429,5.96863,5
Alhambra: The Card Game,1992,1.7234,6.44042,6
6 nimmt!,1994,1.2053,6.92892,10
Shark,1987,2.2143,6.63678,6
Yucata',1996,1.7059,5.7719,4
Canyon,1997,1.5775,6.2503,6
Master Labyrinth,1991,1.7938,6.29365,4
Scotland Yard,1983,1.9547,6.51192,6
Zoff in Buffalo,1998,2.0323,6.38601,5
Filthy Rich,1998,1.9,6.38758,5
Um Reifenbreite,1979,1.9591,6.80103,4
Code 777,1985,2.322,6.72068,5
Escape from the Hidden Castle,1989,1.135,6.32103,8
Die Osterinsel,1994,1.6,5.78564,4
Avalanche,1965,1.2,5.70484,6
The Great Balloon Race,1991,1.35,6.15643,8
Octi,1999,3.2609,6.72365,4
Beutelschneider,1997,1.5,5.8925,4
Mummy Rummy,1994,1.2,5.07579,5
Tante Tarantel,1991,1.2143,6.18419,5
Am Fuß des Kilimandscharo,1995,1.2,5.67,4
Jumbo Grand Prix,1998,1.4,5.87424,5
Sherlock Holmes: The Card Game,1991,1.4902,6.20354,8
Ausgebremst,1993,1.5862,6.86566,6
Railway Rivals,1979,2.3333,6.7074,6
Freibeuter,1998,1.85,6.32242,4
Esels-Rennen,1989,1.1818,5.52269,6
Magic: The Gathering,1993,3.2219,7.53543,2
Billabong,1992,1.9242,6.87051,4
Zankapfel,1993,2,6.29683,6
Inkognito,1988,2.156,6.59027,5
In Teufels Küche,1993,1.0909,6.10426,4
Road to the White House,1992,3.5312,6.17035,6
Totem,1995,2.5,5.49587,4
DungeonQuest,1985,1.9283,6.73358,4
Olé!,1996,1.4286,6.57758,8
Cold War,1984,2.871,6.13739,4
Taj Mahal,2000,2.9923,7.27856,5
Mr. President,1967,2.1667,6.59843,4
The Broadway Game,1981,2.3077,6.43512,6
Citadels,2000,2.0524,7.07887,8
Bambuti,1999,2.6923,5.90462,2
Carolus Magnus,2000,2.5827,6.82358,4
Sky Runner,1999,1.5676,5.54634,5
Diplomacy,1959,3.3548,7.04026,7
Stratego Legends,1999,2.2642,5.7957,8
Galloping Pigs,1992,1.1413,5.775,5
Barnyard Buddies,1996,1.0333,5.71263,8
Power,1981,2.64,6.01475,4
Stake Your Claim,1985,1,6.05,6
Pacal,1999,1.6667,6.1501,2
Warangel,2000,2.5135,7.71165,6
Web of Power,2000,2.4441,7.30567,5
Aladdin's Dragons,2000,2.4685,6.90575,5
Ave Caesar,1989,1.3584,6.62966,6
Time Pirates,2000,2.04,5.57638,6
Dilemma,2000,1,4.20667,5
Vampire,2000,1.3425,5.931,5
Arbos,1999,1,6.36683,8
MARK,1997,1.3333,5.94915,4
Dschungelrennen,1989,1,6.17778,5
Through the Desert,1998,2.2044,7.07686,5
Die Verbotene Stadt,1992,1.8125,6.06596,4
Goldener Drache,1992,1.7778,5.70327,5
The Big Cheese,1998,1.3455,5.8854,6
Cartel,1973,2.25,6.9834,4
Blue Max,1983,2.2727,7.12097,6
The Reef,2000,1.6164,5.69583,2
Eschnapur,2000,2.3529,5.68267,5
Silverton,1991,3.25,7.10227,6
Holiday!,1973,2,6.61051,8
True Colors,1989,1.1463,6.06378,6
6-Tage Rennen,1986,1.76,6.90602,8
Mush,1994,1.7143,5.83319,6
Axis & Allies: Europe,1999,2.8421,6.5141,4
Crokinole,1876,1.25,7.93845,4
Desperados,1980,1.4667,5.57124,4
Pisa,1999,1.75,6.27076,5
Abalone,1987,2.1812,6.45465,2
GIPF,1996,2.7742,7.09397,2
ZÈRTZ,1999,2.7455,7.27648,2
Charlemagne,1998,4,6.27667,4
Entenrallye,1988,1.75,5.88182,6
Merchants of Amsterdam,2000,2.6319,6.71396,5
Labyrinth: The Card Game,2000,1.2239,5.56466,6
N.Y. Chase,1999,1.9804,6.40286,6
Power Barons,1986,2.0417,5.51503,4
Visionary,1997,1.2692,6.46446,8
Manager,1979,2.5333,6.44098,6
Dampfross,1979,2.1974,6.24326,6
Sisimizi,1996,1.9565,6.33884,4
Das Motorsportspiel,1995,2,7.46209,12
Animocrazy 豬事議會,2000,1.2804,5.53104,10
Kaleidos,1994,1.25,6.70794,12
Buck Rogers: Battle for the 25th Century Game,1988,2.6849,6.46356,6
Aerodrome,1994,2.2308,7.58245,12
Barbarossa,1988,1.5429,6.32474,4
Battle Cry,1999,2.0955,7.14976,2
Bus,1999,3.0417,7.53447,5
Chez Geek,1999,1.4183,5.71728,5
La Città,2000,3.2764,7.0351,5
The Princes of Florence,2000,3.2475,7.52664,5
7 Safari,2000,1.1667,5.25243,6
Laguna,2000,2,5.88165,4
Der weiße Lotus,2000,2.8571,6.19936,6
Metro,1997,1.6897,6.37047,6
Flußpiraten,1990,2.1,6.1698,6
Silberzwerg,2000,2.5128,6.40794,4
Doolittle & Waite,1986,1.8571,6.25129,8
Die Seidenstraße,1998,1.875,5.45761,7
Port Royal,2000,2.3571,6.15902,4
Wongar,2000,2.9762,6.29016,5
Rage,1983,1.4685,6.15782,10
Maestro,1989,1.8571,5.83811,4
Papua,1992,1.5714,6.24681,6
Battle Cattle,1996,1.5,5.46056,8
Grand Prix,1975,1.3636,6.42174,6
Devil Take the Hindmost,1991,1.5135,6.43503,6
Das Kollier,2000,2.5,5.47143,6
Parts Unknown,1999,1.9048,6.01004,10
Tile Chess,1999,2.6818,5.95463,6
Kampf um Rom,1995,3.2,5.52162,4
Kardinal,2000,2.1818,6.55197,4
Up Front,1983,3.4113,7.87075,3
Sumera,1999,3,6.22742,4
Wiz-War,1983,1.9822,6.88221,4
Mille Bornes,1954,1.2474,5.70346,6
Spades,1938,2.0349,6.76555,4
Favoriten,1989,1.3333,6.41983,5
Sleuth,1971,2.4663,6.91567,7
Escape from Elba,1999,1.6842,5.45185,6
Die Weinhändler,2000,1.75,5.08559,6
Take Two,1996,1.1429,5.85882,7
Career Poker,1988,1.4118,6.61818,8
Putsch,1998,3.2857,5.49789,6
Verrat!,1999,3,5.35652,4
Banana Republic,1993,1.4615,5.36358,5
Pico 2,1997,1.1562,5.93643,2
Honor of the Samurai,1996,2.1818,5.92587,6
Siesta,1999,2.52,6.28864,4
Knights of the Rainbow,1999,1.2,4.93529,6
Ironman Football,1995,2.1667,6.28333,8
Kippit,1999,1,5.9407,2
Overboard,1978,1.8889,5.68767,2
Rubik's Race,1982,1.28,6.04525,2
Alles Futsch,1998,2,5.29032,5
MLB Showdown,2000,1.9444,6.21892,2
The Bottle Imp,1995,1.8726,6.74006,4
We the People,1993,2.7234,7.31048,2
25 Words or Less,1996,1.5319,6.54796,99
Change!,1999,1.2222,5.28281,8
Swashbuckler: A Game of Swordplay and Derring-do,1980,2.4545,6.95812,6
Quoridor,1997,1.8698,6.66289,4
Business,1998,2,6.11125,6
War and Peace,1980,3.3046,6.69662,6
Royal Tank Corps,2000,2.7059,6.52661,2
Q-Turn,1999,1.25,5.04055,4
Double Quick,1999,1.5,7.06579,4
Daytona 500,1990,1.7723,7.1353,4
Cloud 9,1999,1.1533,6.48261,6
Elixir,1997,1.4819,5.55636,8
River Dragons,2000,1.719,6.5019,6
Formula Motor Racing,1995,1.181,6.41108,6
The Stock Car Championship Racing Card Game,1995,2.1364,6.8742,12
Hera and Zeus,2000,2.0456,6.48803,2
American Megafauna,1997,3.7917,6.85596,4
Oodles,1992,1.3684,6.10415,10
Deadlands: Doomtown Range Wars,2000,2.2,6.26844,8
Shipwrecked,2000,1.4681,5.69211,4
Bosworth,1998,2.1,5.81967,4
Pirate's Plunder,2000,1.5556,4.64221,6
Mystick Domination,2000,2.8333,6.43333,5
Vox Populi,1999,2.1111,4.38987,6
Thieves of Bagdad,1999,2.1667,5.97797,6
Fairy Meat,2000,1.625,5.98489,100
Zero Down,1998,1.2444,6.46264,5
X-Net,1999,2.5,5.71429,6
Shit!,1996,1.1765,5.45009,6
Castle,2000,1.9024,6.1028,5
Münchhausen,1996,1.0909,5.88171,8
Riffifi,2000,1,6.06919,5
Where's Bob's Hat?,1990,1.5814,6.22904,5
Siege,1999,1,4.83548,2
Quackshot,1995,1,6.68333,4
Stump,1968,1,6.38788,4
Sternenhimmel,1995,2.0811,6.56071,5
Plague & Pestilence,1993,1.3784,6.20708,6
Starship Troopers,1976,3.1071,6.53283,2
Bull Run: The First Major Battle of the American Civil War,1983,3,6.3626,2
Star Traders,1987,2.3182,6.33325,6
J.U.M.P. Into the Unknown,1999,2.7778,5.345,4
4th Dimension,1977,2,5.27625,2
Ninja Wars,1998,1,4.68129,4
Would You Rather...?,1998,1.2045,4.37405,8
Minion Hunter,1992,1.8824,6.22414,6
Dune,1984,2.16,5.76155,4
Quarto,1991,1.9283,6.86154,2
Monopoly: The Card Game,2000,1.4681,5.5378,6
Marrakesh,1978,2,6.88726,2
Dr. Jekyll & Mr. Hyde,1997,2.3611,6.75802,4
Cabale,1999,2.5,6.16218,4
Manchu: The Taiping Rebellion – 1852-1868,1988,2.7143,6.03375,2
Singapore,1984,2.4444,6.43255,2
Timbuktu,1993,2.786,6.65845,5
Wizard Kings,2000,2.6513,6.71909,7
Fibonacci,1992,1.8333,6.28889,2
The Big Idea,2000,1.3191,6.29205,6
Conspiracy,1973,1.913,6.24374,4
Gother Than Thou,2000,1.1667,4.65103,5
HeroQuest,1989,2.1576,7.1501,5
Battle Masters,1992,1.8701,6.29095,2
A House Divided: War Between the States 1861-65,1981,2.6327,7.07239,2
Wabbit Wampage,1985,2,5.97602,4
Roman Civil War,1993,3.1667,6.85523,2
Montgolfiere,1992,1.2206,5.84796,6
Caesar in Gallia: Conquest on the Ancient Frontier,1993,3.0667,6.90565,2
Frederick the Great: The Campaigns of The Soldier King,1975,2.7042,6.9556,4
When Tigers Fight,1994,3,6.18222,2
Holy War: Afghanistan,1991,3.1765,6.23187,2
Dragons of Glory,1986,2.5714,6.25882,2
Snit's Revenge!,1977,1.4348,6.19453,2
Elfenroads,1992,2.5,7.05959,6
Blood Bowl (Third Edition),1994,2.9814,7.54407,2
Nuclear War,1965,1.4428,6.21894,6
Talisman,1983,2.1824,6.35398,6
Escape from Colditz,1973,2.2377,6.66717,6
Pizza Party,1987,1.2,4.95516,4
Galaxy: The Dark Ages,2000,2.4154,6.27078,5
Tyranno Ex,1990,2.3542,6.46624,4
Fast Food Franchise,1992,2.1714,6.32872,5
Oregon Trail,1981,2.25,5.39659,8
The Uncanny X-Men Alert Adventure Game,1992,1.5814,6.13641,4
Chill: Black Morn Manor,1985,2.0588,5.98998,6
